Time (s),Color,ROI Coordinates (x,y,w,h)
0.03,Red,(200, 55, 120, 320)
0.07,Red,(200, 55, 120, 320)
0.10,Red,(200, 55, 120, 320)
0.13,Red,(200, 55, 120, 320)
0.17,Red,(200, 55, 120, 320)
0.20,Red,(200, 55, 120, 320)
0.23,Red,(200, 55, 120, 320)
0.27,Red,(200, 55, 120, 320)
0.30,Red,(200, 55, 120, 320)
0.33,Red,(200, 55, 120, 320)
0.37,Red,(200, 55, 120, 320)
0.40,Red,(200, 55, 120, 320)
0.43,Red,(200, 55, 120, 320)
0.47,Red,(200, 55, 120, 320)
0.50,Red,(200, 55, 120, 320)
0.53,Red,(200, 55, 120, 320)
0.57,Red,(200, 55, 120, 320)
0.60,Red,(200, 55, 120, 320)
0.63,Red,(200, 55, 120, 320)
0.67,Red,(200, 55, 120, 320)
0.70,Red,(200, 55, 120, 320)
0.73,Red,(200, 55, 120, 320)
0.77,Red,(200, 55, 120, 320)
0.80,Red,(200, 55, 120, 320)
0.83,Red,(200, 55, 120, 320)
0.87,Red,(200, 55, 120, 320)
0.90,Red,(200, 55, 120, 320)
0.93,Red,(200, 55, 120, 320)
0.97,Red,(200, 55, 120, 320)
1.00,Red,(200, 55, 120, 320)
1.03,Red,(200, 55, 120, 320)
1.07,Red,(200, 55, 120, 320)
1.10,Red,(200, 55, 120, 320)
1.13,Red,(200, 55, 120, 320)
1.17,Red,(200, 55, 120, 320)
1.20,Red,(200, 55, 120, 320)
1.23,Red,(200, 55, 120, 320)
1.27,Red,(200, 55, 120, 320)
1.30,Red,(200, 55, 120, 320)
1.33,Red,(200, 55, 120, 320)
1.37,Red,(200, 55, 120, 320)
1.40,Red,(200, 55, 120, 320)
1.43,Red,(200, 55, 120, 320)
1.47,Red,(200, 55, 120, 320)
1.50,Red,(200, 55, 120, 320)
1.53,Red,(200, 55, 120, 320)
1.57,Red,(200, 55, 120, 320)
1.60,Red,(200, 55, 120, 320)
1.63,Red,(200, 55, 120, 320)
1.67,Red,(200, 55, 120, 320)
1.70,Red,(200, 55, 120, 320)
1.73,Red,(200, 55, 120, 320)
1.77,Red,(200, 55, 120, 320)
1.80,Red,(200, 55, 120, 320)
1.83,Red,(200, 55, 120, 320)
1.87,Red,(200, 55, 120, 320)
1.90,Red,(200, 55, 120, 320)
1.93,Red,(200, 55, 120, 320)
1.97,Red,(200, 55, 120, 320)
2.00,Red,(200, 55, 120, 320)
2.03,Red,(200, 55, 120, 320)
2.07,Red,(200, 55, 120, 320)
2.10,Red,(200, 55, 120, 320)
2.13,Red,(200, 55, 120, 320)
2.17,Red,(200, 55, 120, 320)
2.20,Red,(200, 55, 120, 320)
2.23,Red,(200, 55, 120, 320)
2.27,Red,(200, 55, 120, 320)
2.30,Red,(200, 55, 120, 320)
2.33,Red,(200, 55, 120, 320)
2.37,Red,(200, 55, 120, 320)
2.40,Red,(200, 55, 120, 320)
2.43,Red,(200, 55, 120, 320)
2.47,Red,(200, 55, 120, 320)
2.50,Red,(200, 55, 120, 320)
2.53,Red,(200, 55, 120, 320)
2.57,Red,(200, 55, 120, 320)
2.60,Red,(200, 55, 120, 320)
2.63,Red,(200, 55, 120, 320)
2.67,Red,(200, 55, 120, 320)
2.70,Red,(200, 55, 120, 320)
2.73,Red,(200, 55, 120, 320)
2.77,Red,(200, 55, 120, 320)
2.80,Red,(200, 55, 120, 320)
2.83,Red,(200, 55, 120, 320)
2.87,Red,(200, 55, 120, 320)
2.90,Red,(200, 55, 120, 320)
2.93,Red,(200, 55, 120, 320)
2.97,Red,(200, 55, 120, 320)
3.00,Red,(200, 55, 120, 320)
3.03,Red,(200, 55, 120, 320)
3.07,Red,(200, 55, 120, 320)
3.10,Red,(200, 55, 120, 320)
3.13,Red,(200, 55, 120, 320)
3.17,Red,(200, 55, 120, 320)
3.20,Red,(200, 55, 120, 320)
3.23,Red,(200, 55, 120, 320)
3.27,Red,(200, 55, 120, 320)
3.30,Red,(200, 55, 120, 320)
3.33,Red,(200, 55, 120, 320)
3.37,Red,(200, 55, 120, 320)
3.40,Red,(200, 55, 120, 320)
3.43,Red,(200, 55, 120, 320)
3.47,Red,(200, 55, 120, 320)
3.50,Red,(200, 55, 120, 320)
3.53,Red,(200, 55, 120, 320)
3.57,Red,(200, 55, 120, 320)
3.60,Red,(200, 55, 120, 320)
3.63,Red,(200, 55, 120, 320)
3.67,Red,(200, 55, 120, 320)
3.70,Red,(200, 55, 120, 320)
3.73,Red,(200, 55, 120, 320)
3.77,Red,(200, 55, 120, 320)
3.80,Red,(200, 55, 120, 320)
3.83,Red,(200, 55, 120, 320)
3.87,Red,(200, 55, 120, 320)
3.90,Red,(200, 55, 120, 320)
3.93,Red,(200, 55, 120, 320)
3.97,Red,(200, 55, 120, 320)
